headline,link,source,region,published_at
"US-Iran Teams Meet, Markets Weigh AI Trade, More","https://news.google.com/rss/articles/CBMimgFBVV95cUxPZzBjRGxKUTBPLVVBeVZPTzVPOEdManZQYTVrUHhDMjNOY3BCcXVzZ0lFLTg2ZkYzWmRUNlhKTHQ2OWExZ0NYdmtZWnZ3OHZ5NUpSYTdwWDVZMkxTcGRkUzUzZ3V2M2FEQzllTkZsZDVhalBMYThYdlNkVS1VZ1BUd3lOVmVYQ083TW04WlB5ZXRKeHZLemJSQnl3?oc=5","Bloomberg","Global","2026-09-23T00:06:07.000Z"
"Thousands rally in NYC calling for democratic change in Iran","https://news.google.com/rss/articles/CBMiVkFVX3lxTE9meFlVYjhtRFdwZnBFNktsMEhVWS0yQkNSamJkVVZ2TTZZV0YyNWNxTTZKRnR1a1dRcEJUem5VX0p4ZklqWFpLZ3NROWtESVpUUjVkcEh3?oc=5","Fox News","US","2026-09-22T23:42:00.000Z"
"Gen Jack Keane: The Iranian regime is convinced it is winning","https://news.google.com/rss/articles/CBMiVkFVX3lxTE1veWllNGdRbmZyMlg4ZVZUVFFVLWNJb3pNdktqRnl1bC1xQWZWaWlSX3pSRzIzcTVYZVRLWWJ0VG5LS0NvT1hjR1RGTGREcVZYVjBjXzJB?oc=5","Fox News","US","2026-09-22T23:36:32.000Z"
"Protesters rally outside UN demanding democratic change in Iran","https://news.google.com/rss/articles/CBMiVkFVX3lxTE5xZXgyR2tqcGZMSFRMcmN2LTYySV9qRnBhTWRmVmlocVlWdi1fbmE0djhBN3lscTJ5QXR0M1MzZVhUUXRiR2s3a1JNMl9XNlhDRkY5Z1Fn?oc=5","Fox News","US","2026-09-22T23:31:42.000Z"
"Witkoff indicates talks with Iran weren't direct, says mediators 'shuttled' between US and Iranian delegations","https://news.google.com/rss/articles/CBMi5wFBVV95cUxNYjhGNzRZVmhNWlB3S2N2RlJTSVpSWlRFWm5PeDduc0tTdmpwQjlUVXNpR0xabVZnYy1vMUw5ZlJqaHhkNmtMcGhRX3NjUjk3ejNSZkl2VzY0cWVXYmpvQ2ZVZjlvenlaWi1XbWdYX1BxcHQyUy1CSWFvRzJIMERvN3MwV0k3RU9LU0QwNXBLSTJOZV96aHozUlluVUI3T2dRQ0lSRWpTeVBWVEtEdlRCZDdxcG1UWEIyZHpBQThZQ0NneXdlSDFmQ001dEozSWFhZlQxcXlUcHVFQkZNSEcxU3FaVkFPUTg?oc=5","The Times of Israel","Israel","2026-09-23T00:03:51.000Z"
"Who Is More Powerful: Saudi Arabia or Iran?","https://news.google.com/rss/articles/CBMiiAFBVV95cUxOY1RNd010ekloZGM4alJiZEt1dkRCc2YydWx4b1FQOUptR0pJTjR4a20zZzFCZVkydFZ6TlhzcHk1VkZ2NlJUY3QyN1czNU5ETFlWYVp6M1diZy1MME80bjB6bXNIN2lHajE3NTRtcFpuNDZ4MWcybkQ2bmdjNnc0M0NWd3pWV3hv?oc=5","Asharq Al-Awsat","Arab","2026-09-22T23:53:13.000Z"
"Iran flights to Baghdad, Muscat cancelled ahead of US aviation sanctions","https://news.google.com/rss/articles/CBMisgFBVV95cUxOOEVNOUx2el9hMDNPN0RZN3lKZGRqLWtTeVo0YnYzSm5RbVhhNlVjM2p1V29uUXBzc1dqQmplWm1NOFA0am5ZWE11XzlxU241YzVhUVM1cG1EcXpVY1dJV1RSbHpZUENrTGdJTWRMMU52blJWWjVvQXVMbTJKWERtTkJVbVBLd0Z3akY3YmxWUkFEUi03SGtNMkljMkZaYzk2dlpHc3JWQUhfVXgyT05OUjVn0gG3AUFVX3lxTE5oa1dhMjlWRGQwWDVkcVdIcElBRlV4MXpmZnpsdGFDSjdTNmhqZE9UY3JrQ1k4UU9lem9LbU5UTHNrZVJFRFhlUG1JVjJmR0NSdnhpZEM2aUtEYVpHc0VqTmhieVJienF2LUlTZE03VzRqaUJDcG9kc2ZyWUtTREFlS2RwWkZJcFg4dTE1cERhWUpqblZyMzZreFVxa0xEX1VlanZBNWlDVVplR1lQcThGS3FXcWFaUQ?oc=5","Al Jazeera","Arab","2026-09-22T23:49:57.000Z"
"Special Envoy Steve Witkoff: Today, on the sidelines of the United Nations General Assembly, we engaged in lengthy talks with the Iranian delegation through the mediators, who shuttled between the two sides throughout the day. They successfully completed","https://news.google.com/rss/articles/CBMibkFVX3lxTE9xT2xqMUtqdmZySlZmTlhIRk1YdEVXbVk2czhZUWRKUTMxbm5kdkZQeTd0U3VTSmsyemJJZnRoVkhibW1fMGtuTEVfd0h1TWUwQzNWRGxvNWRrellOU3BRVW9Lc0lNak0yOVdaSzlR?oc=5","CGTN","China","2026-09-22T23:33:52.000Z"
"US-Israel war on Iran - Al Jazeera","https://news.google.com/rss/articles/CBMizgFBVV95cUxPQzBpa2R5TC1lbllNWi1nbGFaaDZ5UXR0X3BDdDVrWHVLOXQxdWVvZVlHN3lGWWRSNGFKLXdKdjRPWDREaW9kczJCa3VlT01xYlRlTDZGSkduYjUzbTdCNy1zX2NleVVXV09lTGhYcGZjUDZoZjc5ckZBd1ZMbjJ6cFF4cHZTeDJEbmRTTVk2bWpwd2g3T2xucld5eWZzTmFmWF81SnBpM25ibkpqTGF5U1lXZ1cwcHVzWWtmTi1uLW4wSi03b1U2WGk0cWhvUQ?oc=5","Al Jazeera","Arab","2026-09-22T23:31:43.000Z"
"Gold Steadies as Iran Talks Temper Concerns Over Fed Rate Path","https://news.google.com/rss/articles/CBMiswFBVV95cUxPS0lGQndCZl9ua0tsV1ljV3ZxekNiNU1WSlBfUXpScmdaVHpkX2NWS3Jnc2ZoMnNTRlhEMXRadlpwSGJmQ3VlSDNlZlc2RnRFQmc1bGN5NE5lRWI3aVlzV2RoUm5Xc2IzdW9Da2RnUno0dkRDYnhfeEJIRGJWU0h2YUxQOXdWbUJMZEZ6bGNzUFVkSUpTOUJYOVRaRDdROEdKTzAybHIxRTdtTjl5NXNpTm1PSQ?oc=5","Bloomberg","Global","2026-09-22T23:56:43.000Z"
"Trump Says He Faces Choice: Make a Deal or ""Annihilate"" Iran","https://news.google.com/rss/articles/CBMiqgFBVV95cUxQdGwzMXRUdk9pNTYyTEJIU1FIMWZMekxxUUJ6ZllpTS1aVGFEVmZHVzhrVU1iNVAxNzlUX2FMa2xNRnhKTHhSaFBhczJ1eTkyQk1jZnJ6ZEFpTWZaVEtQM3FSdEtRSUJXOVZFVGNfbUlPMDdoSjRnV1p3RTQ2Zm5JR1FEZEg4R3BHVnpERGdrUjF3b1hGbV9QNHNvTW1iT3ktTGVSWlY0VVd1dw?oc=5","CNN","US","2026-09-23T00:48:40.000Z"
"US Had 'Good Meeting' With Iran, Chip Stocks Climb, More","https://news.google.com/rss/articles/CBMiogFBVV95cUxPMkk4MVlHUzd0RDRmWmwxZXBROURkb0NLUlFWcEJTeTVKR1VXQVFzUXBuMVBUa1dIQUVNZ0VIWkNlM2ZITWFNcXFfeFNmMmtaMWdoVThCbjNiaTZpZkJJYWk5X0xDSFd0WERFSGxWR3p1M29DYUJ5b3I1cHlobTVCWkFtejBGNFFpaWpMbVhQRFhWaGZKWHVyOUdHeHBBQ0ZXQXc?oc=5","Bloomberg","Global","2026-09-23T01:02:35.000Z"
